INDEX_NR,OPID,OPERATOR,ATYPE,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,TYPE_ENG,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,AIRPORT_ID,AIRPORT,STATE,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,DAMAGE,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,SPECIES_ID,SPECIES,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
11220,MIL,MILITARY,C-130H,561,,,,A,,,,,,,,,,FALSE,FALSE,7/11/2007,7,2007,Day,1500,KMFD,MANSFIELD LAHM MUNICIPAL,OH,AGL,,,,,170,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
11226,MIL,MILITARY,KC-135E,,,,,A,,,,,,,,,,FALSE,FALSE,7/12/2007,7,2007,Day,1000,KSUX,SIOUX GATEWAY ARPT,IA,ACE,,,,,130,,Take-off run,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
1122,MIL,MILITARY,T-38A,,,,,A,,,,,,,,,,FALSE,FALSE,10/23/1990,10,1990,Day,1300,KLBB,LUBBOCK PRESTON SMITH INTL ARPT,TX,ASW,,,,0,120,0,Landing Roll,N,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,2-10,2-10,Medium,,SOURCE = BASH NR xxxxx,"REMARKS -  ;  AIRCRAFT -  T - 38 - ;  IMPACT -  FCP WINDSCREEN;  NUMBER OF BIRDS (S, F, or Z) -  F",,,,,,Deleted,Deleted,5/19/2000,BASH,,,,10/21/2009,FALSE,FALSE
11230,MIL,MILITARY,C-130H,561,,,,A,,,,,,,,,,FALSE,FALSE,7/12/2007,7,2007,Day,1415,4G4,YOUNGSTOWN ELSER METRO,OH,AGL,,,,,130,,Landing Roll,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
11731,MIL,MILITARY,UNKNOWN,,,,,,,,,,,,,,,FALSE,FALSE,2/26/2008,2,2008,Day,1039,KAXS,ALTUS/QUARTZ MOUNTAIN RGNL ARPT,OK,ASW,,,,,130,,Landing Roll,E,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
11737,MIL,MILITARY,C-135,148,,,,A,,,,,,,,,,FALSE,FALSE,4/24/2008,4,2008,Night,2158,KAXS,ALTUS/QUARTZ MOUNTAIN RGNL ARPT,OK,ASW,,,,,200,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
11738,MIL,MILITARY,C-135,148,,,,A,,,,,,,,,,FALSE,FALSE,11/21/2007,11,2007,Night,305,KMEI,KEY FLD,MS,ASO,,,,,150,,Take-off run,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,,,0,,0,Deleted,Deleted,,BASH,,,,10/21/2009,FALSE,FALSE
10314,MIL,MILITARY,KC-135R,,,,,A,,,,,,,,,,FALSE,FALSE,8/15/2006,8,2006,Dusk,1854,KRFD,GREATER ROCKFORD,IL,AGL,,,,,,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH NR xxxxxx,,0,,0,,0,,,,BASH,,,,10/21/2009,FALSE,FALSE
10315,MIL,MILITARY,KC-135R,,,,,A,,,,,,,,,,FALSE,FALSE,7/12/2006,7,2006,Day,1330,KLNK,LINCOLN ARPT,NE,ACE,,,,,,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,YI,Swallows,,,Small,,SOURCE = BASH NR xxxxxx,,0,,0,,0,,,,BASH,,,,10/21/2009,FALSE,FALSE
10317,MIL,MILITARY,KC-135R,,,,,A,,,,,,,,,,FALSE,FALSE,7/27/2006,7,2006,Night,,KLNK,LINCOLN ARPT,NE,ACE,,,,,,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,N5111,Killdeer,,,Small,,SOURCE = BASH NR xxxxxx,,0,,0,,0,,,,BASH,,,,10/21/2009,FALSE,FALSE
